id,custId,txId,opened,status,priority,fraudType,fraudAmt,analyst,resolution,recoveredAmt,sla
CASE-0150,CUST-0794,TX-005256,4/5/2026,Escalated,Medium,Card Fraud,6415.05,Fatima S.,Pending,0,12 hrs
CASE-0151,CUST-0300,TX-000582,4/6/2026,Escalated,Medium,Money Laundering,11263.94,Ahmed M.,Pending,0,OVERDUE
CASE-0152,CUST-0186,TX-007737,2/4/2026,Investigating,Medium,Account Takeover,1495.36,Fatima S.,Pending,0,12 hrs
CASE-0153,CUST-0387,TX-007458,3/27/2026,Open,High,Card Fraud,3048.58,Ahmed M.,Pending,0,5 days
CASE-0154,CUST-0953,TX-003163,4/23/2026,Closed,Low,Synthetic ID,4027.34,Fatima S.,Fraud Confirmed,188.26,12 hrs
CASE-0155,CUST-0641,TX-003903,3/7/2026,Closed,Medium,Synthetic ID,5409.82,Sara K.,Fraud Confirmed,2131.22,2 days
CASE-0156,CUST-0845,TX-001108,4/18/2026,Closed,Medium,Synthetic ID,7259.27,Noor F.,Fraud Confirmed,4483.4,5 days
CASE-0157,CUST-0092,TX-004674,3/19/2026,Escalated,Low,Money Laundering,4517.97,Ali R.,Pending,0,2 days
CASE-0158,CUST-0408,TX-009794,2/7/2026,Open,Medium,Money Laundering,848.74,Ahmed M.,Pending,0,5 days
CASE-0159,CUST-0213,TX-002817,3/22/2026,Closed,Medium,Card Fraud,7627.76,Ahmed M.,Fraud Confirmed,3341.83,2 days
CASE-0160,CUST-0752,TX-003512,2/28/2026,Escalated,Critical,Synthetic ID,3492.53,Noor F.,Pending,0,2 days
CASE-0161,CUST-0511,TX-009613,3/17/2026,Escalated,Critical,Synthetic ID,10227.78,Fatima S.,Pending,0,OVERDUE
CASE-0162,CUST-0885,TX-008780,4/22/2026,Closed,Medium,Money Laundering,8163.96,Noor F.,Fraud Confirmed,2136.2,5 days
CASE-0163,CUST-0043,TX-000750,3/25/2026,Closed,High,Phishing,7014.51,Ahmed M.,Fraud Confirmed,1701.93,5 days
CASE-0164,CUST-0228,TX-004946,2/3/2026,Open,High,Synthetic ID,2573.92,Sara K.,Pending,0,2 days
CASE-0165,CUST-0754,TX-006118,3/14/2026,Closed,Critical,Account Takeover,9491.23,Noor F.,Fraud Confirmed,5772.67,OVERDUE
CASE-0166,CUST-0307,TX-007842,1/24/2026,Escalated,Low,Account Takeover,4906.62,Ahmed M.,Pending,0,5 days
CASE-0167,CUST-0160,TX-004071,4/6/2026,Open,Medium,Account Takeover,4867.33,Sara K.,Pending,0,5 days
CASE-0168,CUST-0042,TX-001180,2/14/2026,Closed,Critical,Card Fraud,8322.31,Ahmed M.,Fraud Confirmed,1526.99,5 days
CASE-0169,CUST-0914,TX-003879,4/9/2026,Closed,Medium,Synthetic ID,1719.25,Ali R.,Fraud Confirmed,480.01,5 days
CASE-0170,CUST-0080,TX-001464,2/1/2026,Open,High,Phishing,45.35,Ali R.,Pending,0,OVERDUE
CASE-0171,CUST-0711,TX-003697,3/7/2026,Escalated,Low,Synthetic ID,4589.59,Ali R.,Pending,0,OVERDUE
CASE-0172,CUST-0046,TX-009096,4/11/2026,Escalated,High,Synthetic ID,7056.78,Ali R.,Pending,0,OVERDUE
CASE-0173,CUST-0175,TX-006111,3/7/2026,Investigating,High,Money Laundering,4352.14,Ali R.,Pending,0,5 days
CASE-0174,CUST-0542,TX-007597,3/28/2026,Closed,Medium,Money Laundering,10312.43,Noor F.,Fraud Confirmed,6396.52,2 days
CASE-0175,CUST-0765,TX-009404,4/7/2026,Open,Low,Account Takeover,10286.05,Noor F.,Pending,0,5 days
CASE-0176,CUST-0549,TX-003711,2/23/2026,Investigating,High,Phishing,6422.18,Noor F.,Pending,0,OVERDUE
CASE-0177,CUST-0679,TX-000705,2/1/2026,Escalated,Critical,Account Takeover,8228.11,Ahmed M.,Pending,0,OVERDUE
CASE-0178,CUST-0144,TX-002402,4/4/2026,Investigating,Critical,Card Fraud,7682.09,Noor F.,Pending,0,12 hrs
CASE-0179,CUST-0870,TX-007306,2/18/2026,Escalated,Low,Synthetic ID,2807.28,Noor F.,Pending,0,2 days
CASE-0180,CUST-0360,TX-003041,4/12/2026,Closed,Low,Card Fraud,1097.42,Ali R.,Fraud Confirmed,785.55,2 days
CASE-0181,CUST-0571,TX-004120,4/16/2026,Open,High,Phishing,6623.21,Ali R.,Pending,0,12 hrs
CASE-0182,CUST-0697,TX-004740,3/19/2026,Investigating,Low,Card Fraud,2116.85,Noor F.,Pending,0,2 days
CASE-0183,CUST-0834,TX-007145,3/8/2026,Investigating,Low,Money Laundering,5107.44,Fatima S.,Pending,0,5 days
CASE-0184,CUST-0313,TX-008513,3/10/2026,Escalated,High,Account Takeover,10023.83,Ahmed M.,Pending,0,OVERDUE
CASE-0185,CUST-0998,TX-000140,4/13/2026,Escalated,Critical,Synthetic ID,2530.78,Sara K.,Pending,0,2 days
CASE-0186,CUST-0336,TX-004318,2/25/2026,Escalated,Critical,Account Takeover,8009.36,Noor F.,Pending,0,OVERDUE
CASE-0187,CUST-0443,TX-002606,3/3/2026,Escalated,Low,Money Laundering,9053.17,Sara K.,Pending,0,OVERDUE
CASE-0188,CUST-0775,TX-006177,1/29/2026,Closed,Low,Card Fraud,10405.83,Fatima S.,Fraud Confirmed,236.1,5 days
CASE-0189,CUST-0291,TX-007337,2/13/2026,Closed,Critical,Account Takeover,7116.19,Ahmed M.,Fraud Confirmed,5704.73,2 days
CASE-0190,CUST-0125,TX-009917,1/28/2026,Escalated,Medium,Card Fraud,3981.13,Ali R.,Pending,0,2 days
CASE-0191,CUST-0274,TX-005479,3/8/2026,Escalated,High,Money Laundering,6389.13,Fatima S.,Pending,0,OVERDUE
CASE-0192,CUST-0665,TX-004060,3/4/2026,Open,High,Money Laundering,3561.13,Ahmed M.,Pending,0,2 days
CASE-0193,CUST-0237,TX-006525,2/22/2026,Open,Low,Phishing,4871.36,Noor F.,Pending,0,5 days
CASE-0194,CUST-0667,TX-008152,4/16/2026,Open,Low,Account Takeover,3206.12,Noor F.,Pending,0,2 days
CASE-0195,CUST-0679,TX-005817,3/7/2026,Investigating,Low,Phishing,7273.68,Ahmed M.,Pending,0,2 days
CASE-0196,CUST-0043,TX-002683,2/17/2026,Investigating,Low,Card Fraud,6376.73,Sara K.,Pending,0,OVERDUE
CASE-0197,CUST-0333,TX-005210,3/12/2026,Investigating,Low,Synthetic ID,6160.82,Sara K.,Pending,0,2 days
CASE-0198,CUST-0655,TX-007197,2/16/2026,Closed,Critical,Account Takeover,6950.59,Noor F.,Fraud Confirmed,3742.79,12 hrs
CASE-0199,CUST-0937,TX-000648,3/21/2026,Open,High,Card Fraud,10714.65,Fatima S.,Pending,0,OVERDUE
CASE-0200,CUST-0901,TX-003481,2/28/2026,Closed,High,Synthetic ID,5736.86,Ali R.,Fraud Confirmed,266.2,2 days
CASE-0201,CUST-0659,TX-003904,1/28/2026,Escalated,High,Synthetic ID,5898.51,Ali R.,Pending,0,12 hrs
CASE-0202,CUST-0294,TX-009253,3/8/2026,Closed,Critical,Phishing,6596.35,Ahmed M.,Fraud Confirmed,3158.77,12 hrs
CASE-0203,CUST-0978,TX-003715,2/15/2026,Escalated,High,Account Takeover,2952.27,Sara K.,Pending,0,OVERDUE
CASE-0204,CUST-0113,TX-003177,3/22/2026,Escalated,Low,Card Fraud,8871.16,Fatima S.,Pending,0,2 days
CASE-0205,CUST-0112,TX-008926,3/18/2026,Investigating,Critical,Synthetic ID,2488.05,Fatima S.,Pending,0,2 days
CASE-0206,CUST-0944,TX-003046,4/14/2026,Closed,Critical,Synthetic ID,8071.71,Ahmed M.,Fraud Confirmed,5684.78,12 hrs
CASE-0207,CUST-0873,TX-000342,2/18/2026,Open,Critical,Account Takeover,4138.13,Fatima S.,Pending,0,OVERDUE
CASE-0208,CUST-0519,TX-009471,3/22/2026,Investigating,Critical,Card Fraud,6049.78,Fatima S.,Pending,0,2 days
CASE-0209,CUST-0620,TX-001047,3/7/2026,Investigating,High,Account Takeover,8107.35,Fatima S.,Pending,0,12 hrs
CASE-0210,CUST-0041,TX-002449,3/10/2026,Open,Low,Synthetic ID,3766.16,Ali R.,Pending,0,2 days
CASE-0211,CUST-0494,TX-003491,3/19/2026,Investigating,High,Account Takeover,8566.13,Ali R.,Pending,0,5 days
CASE-0212,CUST-0678,TX-009445,3/18/2026,Closed,High,Phishing,4166.35,Ahmed M.,Fraud Confirmed,3438.8,5 days
CASE-0213,CUST-0561,TX-004800,1/29/2026,Escalated,Low,Money Laundering,1651.09,Sara K.,Pending,0,12 hrs
CASE-0214,CUST-0990,TX-001673,1/26/2026,Investigating,Critical,Card Fraud,3891.66,Ali R.,Pending,0,2 days
CASE-0215,CUST-0262,TX-007517,4/17/2026,Closed,Medium,Money Laundering,6175.97,Ahmed M.,Fraud Confirmed,5111.69,12 hrs
CASE-0216,CUST-0841,TX-009788,4/17/2026,Open,Medium,Synthetic ID,9870.86,Ahmed M.,Pending,0,12 hrs
CASE-0217,CUST-0845,TX-002091,1/24/2026,Open,Critical,Account Takeover,894.16,Fatima S.,Pending,0,2 days
CASE-0218,CUST-0004,TX-008646,4/7/2026,Closed,Critical,Account Takeover,329.1,Ali R.,Fraud Confirmed,285.25,OVERDUE
CASE-0219,CUST-0074,TX-003895,3/24/2026,Closed,Critical,Money Laundering,1247.87,Ahmed M.,Fraud Confirmed,1020.44,2 days
CASE-0220,CUST-0793,TX-005304,3/2/2026,Closed,High,Synthetic ID,6570.41,Ali R.,Fraud Confirmed,683.06,12 hrs
CASE-0221,CUST-0545,TX-007568,3/18/2026,Escalated,High,Account Takeover,1613.33,Sara K.,Pending,0,12 hrs
CASE-0222,CUST-0040,TX-000780,2/4/2026,Closed,Medium,Synthetic ID,4657.44,Fatima S.,Fraud Confirmed,2347.37,12 hrs
CASE-0223,CUST-0961,TX-009218,2/27/2026,Escalated,Critical,Money Laundering,2856.93,Noor F.,Pending,0,12 hrs
CASE-0224,CUST-0282,TX-005045,4/10/2026,Escalated,Critical,Account Takeover,5052,Ahmed M.,Pending,0,OVERDUE
CASE-0225,CUST-0641,TX-008630,3/27/2026,Escalated,Low,Synthetic ID,11197.62,Ahmed M.,Pending,0,2 days
CASE-0226,CUST-0474,TX-007959,2/18/2026,Closed,Low,Account Takeover,6384.45,Noor F.,Fraud Confirmed,5063.85,2 days
CASE-0227,CUST-0519,TX-007203,3/25/2026,Investigating,High,Money Laundering,1012.14,Ahmed M.,Pending,0,12 hrs
CASE-0228,CUST-0118,TX-003970,2/10/2026,Closed,High,Card Fraud,6169.66,Ahmed M.,Fraud Confirmed,398.08,OVERDUE
CASE-0229,CUST-0034,TX-003283,2/20/2026,Open,Critical,Money Laundering,2714.11,Ali R.,Pending,0,5 days
CASE-0230,CUST-0679,TX-005817,3/25/2026,Open,High,Phishing,5889.5,Sara K.,Pending,0,2 days
CASE-0231,CUST-0431,TX-007613,4/5/2026,Closed,Medium,Synthetic ID,2841.83,Noor F.,Fraud Confirmed,262.83,12 hrs
CASE-0232,CUST-0796,TX-005072,3/22/2026,Escalated,Low,Account Takeover,3856.7,Noor F.,Pending,0,OVERDUE
CASE-0233,CUST-0505,TX-003118,4/11/2026,Escalated,High,Phishing,2930.66,Ali R.,Pending,0,5 days
CASE-0234,CUST-0170,TX-001831,3/15/2026,Open,Critical,Card Fraud,3353.95,Sara K.,Pending,0,12 hrs
CASE-0235,CUST-0816,TX-006517,3/8/2026,Escalated,High,Account Takeover,2867.19,Sara K.,Pending,0,12 hrs
CASE-0236,CUST-0457,TX-000826,4/15/2026,Escalated,Medium,Account Takeover,2558.95,Ahmed M.,Pending,0,12 hrs
CASE-0237,CUST-0375,TX-005800,3/21/2026,Open,Low,Money Laundering,9498.64,Fatima S.,Pending,0,2 days
CASE-0238,CUST-0315,TX-002168,4/8/2026,Open,Medium,Synthetic ID,5475.79,Fatima S.,Pending,0,2 days
CASE-0239,CUST-0678,TX-006782,2/19/2026,Open,Low,Synthetic ID,7838.53,Ali R.,Pending,0,12 hrs
CASE-0240,CUST-0996,TX-000006,3/4/2026,Investigating,High,Card Fraud,2843.39,Fatima S.,Pending,0,12 hrs
CASE-0241,CUST-0582,TX-001547,3/4/2026,Investigating,Low,Card Fraud,9556.68,Ahmed M.,Pending,0,OVERDUE
CASE-0242,CUST-0248,TX-005180,4/9/2026,Investigating,High,Card Fraud,5850.13,Noor F.,Pending,0,12 hrs
CASE-0243,CUST-0387,TX-008504,2/25/2026,Escalated,High,Account Takeover,9254.73,Noor F.,Pending,0,5 days
CASE-0244,CUST-0325,TX-009392,3/16/2026,Open,Low,Card Fraud,2007.01,Noor F.,Pending,0,12 hrs
CASE-0245,CUST-0501,TX-002321,4/13/2026,Investigating,High,Phishing,7340.95,Noor F.,Pending,0,5 days
CASE-0246,CUST-0788,TX-007495,2/1/2026,Open,Critical,Money Laundering,4512.7,Fatima S.,Pending,0,5 days
CASE-0247,CUST-0830,TX-001727,2/7/2026,Closed,Critical,Account Takeover,720.74,Noor F.,Fraud Confirmed,89.73,12 hrs
CASE-0248,CUST-0509,TX-009662,4/1/2026,Investigating,Medium,Money Laundering,3740.06,Ahmed M.,Pending,0,12 hrs
CASE-0249,CUST-0114,TX-005685,3/25/2026,Open,Medium,Card Fraud,3274.21,Ahmed M.,Pending,0,2 days
CASE-0250,CUST-0718,TX-007501,1/27/2026,Investigating,Critical,Phishing,8600.07,Sara K.,Pending,0,OVERDUE
CASE-0251,CUST-0987,TX-002470,3/26/2026,Investigating,Low,Money Laundering,2006.62,Noor F.,Pending,0,2 days
CASE-0252,CUST-0998,TX-005375,2/6/2026,Closed,Critical,Synthetic ID,1010.47,Ali R.,Fraud Confirmed,329.15,OVERDUE
CASE-0253,CUST-0713,TX-004600,3/23/2026,Closed,High,Money Laundering,4284.31,Sara K.,Fraud Confirmed,217.15,5 days
CASE-0254,CUST-0089,TX-007859,2/3/2026,Closed,Medium,Card Fraud,5937.37,Fatima S.,Fraud Confirmed,5106.21,5 days
CASE-0255,CUST-0245,TX-000416,4/7/2026,Investigating,High,Account Takeover,3918.12,Fatima S.,Pending,0,2 days
CASE-0256,CUST-0106,TX-007370,4/18/2026,Escalated,Medium,Account Takeover,7144,Fatima S.,Pending,0,2 days
CASE-0257,CUST-0223,TX-006007,4/6/2026,Open,Medium,Synthetic ID,6855.52,Fatima S.,Pending,0,5 days
CASE-0258,CUST-0356,TX-007185,2/18/2026,Closed,Medium,Money Laundering,3879.29,Sara K.,Fraud Confirmed,1391.5,12 hrs
CASE-0259,CUST-0379,TX-006572,2/15/2026,Closed,Critical,Card Fraud,3678.02,Ahmed M.,Fraud Confirmed,1284.15,2 days
CASE-0260,CUST-0290,TX-000944,3/11/2026,Investigating,High,Account Takeover,4294.01,Noor F.,Pending,0,5 days
CASE-0261,CUST-0146,TX-006984,4/2/2026,Escalated,High,Account Takeover,8802.64,Sara K.,Pending,0,5 days
CASE-0262,CUST-0323,TX-000973,2/21/2026,Escalated,Low,Card Fraud,3877.07,Noor F.,Pending,0,5 days
CASE-0263,CUST-0282,TX-000429,4/7/2026,Closed,Low,Money Laundering,4911.22,Sara K.,Fraud Confirmed,3132.28,OVERDUE
CASE-0264,CUST-0861,TX-008690,2/3/2026,Escalated,Critical,Money Laundering,7454.01,Sara K.,Pending,0,OVERDUE
CASE-0265,CUST-0665,TX-003592,3/8/2026,Open,Medium,Card Fraud,3571.56,Sara K.,Pending,0,OVERDUE
CASE-0266,CUST-0580,TX-003856,3/15/2026,Closed,Medium,Synthetic ID,9258.29,Ali R.,Fraud Confirmed,1129.48,5 days
CASE-0267,CUST-0466,TX-002505,3/21/2026,Escalated,Medium,Synthetic ID,8594.34,Noor F.,Pending,0,2 days
CASE-0268,CUST-0153,TX-001302,3/2/2026,Closed,Medium,Synthetic ID,9564.01,Noor F.,Fraud Confirmed,2471.41,OVERDUE
CASE-0269,CUST-0926,TX-007679,4/13/2026,Open,Low,Synthetic ID,3577.27,Sara K.,Pending,0,OVERDUE
CASE-0270,CUST-0594,TX-007477,2/16/2026,Escalated,Medium,Money Laundering,5756.87,Sara K.,Pending,0,OVERDUE
CASE-0271,CUST-0949,TX-002090,4/9/2026,Open,Medium,Account Takeover,9926.55,Ahmed M.,Pending,0,OVERDUE
CASE-0272,CUST-0237,TX-001364,3/23/2026,Open,Critical,Account Takeover,2129.18,Fatima S.,Pending,0,2 days
CASE-0273,CUST-0845,TX-006409,3/28/2026,Investigating,High,Synthetic ID,7290.39,Ali R.,Pending,0,OVERDUE
CASE-0274,CUST-0411,TX-004742,4/5/2026,Investigating,Critical,Synthetic ID,5086.26,Fatima S.,Pending,0,5 days
CASE-0275,CUST-0666,TX-008578,2/27/2026,Closed,Critical,Money Laundering,6702.07,Ali R.,Fraud Confirmed,634.02,12 hrs
CASE-0276,CUST-0792,TX-002165,4/8/2026,Investigating,Medium,Synthetic ID,2468.05,Fatima S.,Pending,0,5 days
CASE-0277,CUST-0858,TX-001631,2/15/2026,Open,Medium,Synthetic ID,9590.94,Noor F.,Pending,0,OVERDUE
CASE-0278,CUST-0626,TX-007345,4/23/2026,Closed,High,Phishing,7736.42,Ali R.,Fraud Confirmed,294.84,5 days
CASE-0279,CUST-0750,TX-007371,2/18/2026,Closed,High,Phishing,617.39,Fatima S.,Fraud Confirmed,102.37,OVERDUE
CASE-0280,CUST-0037,TX-008784,2/17/2026,Closed,Low,Card Fraud,5630.68,Sara K.,Fraud Confirmed,1998.96,12 hrs
CASE-0281,CUST-0964,TX-007301,2/4/2026,Open,Low,Synthetic ID,598.14,Ahmed M.,Pending,0,5 days
CASE-0282,CUST-0874,TX-008620,2/12/2026,Open,Critical,Account Takeover,5825.91,Noor F.,Pending,0,2 days
CASE-0283,CUST-0763,TX-003552,2/23/2026,Open,Medium,Card Fraud,4572.16,Sara K.,Pending,0,5 days
CASE-0284,CUST-0689,TX-002130,4/16/2026,Closed,Critical,Account Takeover,1082.3,Ahmed M.,Fraud Confirmed,397.29,12 hrs
CASE-0285,CUST-0001,TX-000668,1/24/2026,Open,Medium,Card Fraud,5547.02,Sara K.,Pending,0,2 days
CASE-0286,CUST-0536,TX-000383,3/31/2026,Escalated,Medium,Synthetic ID,10170.38,Noor F.,Pending,0,OVERDUE
CASE-0287,CUST-0735,TX-005683,1/27/2026,Investigating,Low,Synthetic ID,119.04,Ahmed M.,Pending,0,OVERDUE
CASE-0288,CUST-0275,TX-005653,2/18/2026,Open,High,Money Laundering,9364.24,Sara K.,Pending,0,5 days
CASE-0289,CUST-0525,TX-006199,2/7/2026,Open,Critical,Phishing,500.32,Noor F.,Pending,0,12 hrs
CASE-0290,CUST-0898,TX-007116,4/12/2026,Open,High,Card Fraud,7748.42,Ali R.,Pending,0,12 hrs
CASE-0291,CUST-0893,TX-003834,3/28/2026,Open,High,Money Laundering,5447.82,Ali R.,Pending,0,5 days
CASE-0292,CUST-0178,TX-002362,3/30/2026,Open,Critical,Phishing,7449.95,Sara K.,Pending,0,12 hrs
CASE-0293,CUST-0953,TX-000244,4/16/2026,Escalated,Low,Synthetic ID,1246.03,Fatima S.,Pending,0,OVERDUE
CASE-0294,CUST-0696,TX-000379,4/8/2026,Investigating,High,Synthetic ID,3442.91,Fatima S.,Pending,0,OVERDUE
CASE-0295,CUST-0310,TX-003479,3/3/2026,Investigating,High,Card Fraud,2859.67,Sara K.,Pending,0,12 hrs
CASE-0296,CUST-0429,TX-008019,2/3/2026,Open,High,Account Takeover,2646.43,Fatima S.,Pending,0,2 days
CASE-0297,CUST-0927,TX-006876,3/12/2026,Escalated,Critical,Money Laundering,6043.36,Noor F.,Pending,0,12 hrs
CASE-0298,CUST-0143,TX-009741,2/26/2026,Open,Medium,Account Takeover,10205.95,Fatima S.,Pending,0,OVERDUE
CASE-0299,CUST-0434,TX-000955,4/11/2026,Escalated,Medium,Money Laundering,9603.48,Sara K.,Pending,0,12 hrs
CASE-0300,CUST-0034,TX-005212,3/20/2026,Investigating,Critical,Synthetic ID,3185.14,Fatima S.,Pending,0,5 days
